"BradleyFletcher","EU","Taxon","VernacularName","UtilityGroup","NaturalFamily","Posture","ForewingShape","ForewingLength","Texture","ForewingColour","Basal","Basal_Stigmata","Antemedian","Antemedian_Stigmata","Median","Median_Stigmata","Postmedian","Postmedian_Stigmata","Terminal","Terminal_Stigmata","Apical","Apical_Stigmata","Subapical","Subapical_Stigmata","Tornal","Tornal_Stigmata","Subtornal","Subtornal_Stigmata","Costal","Costal_Stigmata","Subcostal","Subcostal_Stigmata","Medial","Medial_Stigmata","Subdorsal","Subdorsal_Stigmata","Dorsal","Dorsal_Stigmata","OtherFeatures"
1862,,"Gymnoscelis rufifasciata","Double-striped Pug","Macro | Flapper","Geometridae","Wings_spread","Typical | Narrow","[8-10]",,"Greys | Red | Red-Orange | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,,"Lomaspilis marginata","Clouded Border","Macro | Flapper","Geometridae","Wings_spread","Typical","[11-14]",,"Greys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,,"Selenia dentaria","Early Thorn","Macro | Flapper","Geometridae","Wings_up","Typical","[14-23]",,"Red | Red-Orange | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,,"Apocheima hispidaria","Small Brindled Beauty","Macro | Flapper","Geometridae","Wings_spread","Typical | Narrow","[15-17]",,"Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,,"Phigalia pilosaria","Pale Brindled Beauty","Macro | Flapper","Geometridae","Wings_spread","Typical","[19-24]",,"Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,,"Lycia hirtaria","Brindled Beauty","Macro | Flapper","Geometridae","Wings_spread","Typical","[19-23]",,"Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,"Biston strataria ","Oak Beauty","Macro | Flapper","Geometridae","Wings_spread","Typical","[14-17]",,"Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,,"Agriopis leucophaearia","Spring Usher","Macro | Flapper","Geometridae","Wings_spread","Typical","[14-17]",,"Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,70.255,"Agriopis marginaria","Dotted Border","Macro | Flapper","Geometridae","Wings_spread","Typical","[16-20]",,"Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Distinctive row of dots along termen"
1935,70.256,"Erannis defoliaria","Mottled Umber","Macro | Flapper","Geometridae","Wings_spread","Typical","[18-25]",,"Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,70.27,"Ectropis bistortata","Engrailed","Macro | Flapper","Geometridae","Wings_up | Wings_spread","Typical","[15-22]",,"Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,70.282,"Theria primaria","Early Moth","Macro | Flapper","Geometridae","Wings_up | Wings_spread","Typical","[14-17]",,"Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Darker central spot."
2028,72.015,"Calliteara pudibunda","Pale Tussock","Macro | Buzzer","Lymatriidae","Wings_tentlike | Wings_flat","Typical","[21-22]","Matte","Greys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fore legs often stretched forwards"
2050,72.045,"Eilema lurideola","Common Footman","Macro | Buzzer","Arctiidae","Wings_flat | Wings_rolled","Narrow","[14-17]",,"Greys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yellow stripe narrows towards wing tip"
2107,,"Noctua pronuba ","Large Yellow Underwing","Macro | Buzzer","Noctuidae","Wings_flat","Narrow","[21-26]",,"Greys | Red | Red-Orange | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,,"Xestia c-nigrum"," Setaceous Hebrew Character","Macro | Buzzer","Noctuidae","Wings_flat","Typical","[14-17]",,"Greys | Red | Red-Orange | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
